	gene_short_name
Nrp2	Nrp2
Gm29083	Gm29083
Gm4208	Gm4208
Ino80d	Ino80d
Ino80dos	Ino80dos
Gm20342	Gm20342
Ndufs1	Ndufs1
Eef1b2	Eef1b2
Gpr1	Gpr1
Gm11608	Gm11608
Zdbf2	Zdbf2
Adam23	Adam23
Dytn	Dytn
Mdh1b	Mdh1b
Fastkd2	Fastkd2
4933402D24Rik	4933402D24Rik
Gm13749	Gm13749
Klf7	Klf7
Gm26649	Gm26649
Gm13748	Gm13748
Gm28981	Gm28981
Creb1	Creb1
Mettl21a	Mettl21a
Gm28982	Gm28982
Gm29152	Gm29152
Ccnyl1	Ccnyl1
Fzd5	Fzd5
Plekhm3	Plekhm3
Akr1cl	Akr1cl
Cryge	Cryge
Crygd	Crygd
Crygc	Crygc
Crygb	Crygb
Cryga	Cryga
Gm28845	Gm28845
D630023F18Rik	D630023F18Rik
Idh1	Idh1
Pikfyve	Pikfyve
Pth2r	Pth2r
Crygf	Crygf
Map2	Map2
Gm10558	Gm10558
Unc80	Unc80
Rpe	Rpe
Kansl1l	Kansl1l
Acadl	Acadl
Myl1	Myl1
Lancl1	Lancl1
Cps1	Cps1
Gm15668	Gm15668
Gm15669	Gm15669
Gm15671	Gm15671
Erbb4	Erbb4
Gm28497	Gm28497
Gm29113	Gm29113
Gm29114	Gm29114
Ikzf2	Ikzf2
Spag16	Spag16
Vwc2l	Vwc2l
Bard1	Bard1
Abca12	Abca12
Atic	Atic
Fn1	Fn1
Apol7d	Apol7d
Gm8883	Gm8883
Gm28818	Gm28818
4933417E11Rik	4933417E11Rik
4930556G22Rik	4930556G22Rik
Gm4319	Gm4319
Mreg	Mreg
D230017M19Rik	D230017M19Rik
Pecr	Pecr
Tmem169	Tmem169
Xrcc5	Xrcc5
March4	March4
Smarcal1	Smarcal1
Ankar	Ankar
Rpl37a	Rpl37a
Igfbp2	Igfbp2
Igfbp5	Igfbp5
1700027A15Rik	1700027A15Rik
Tnp1	Tnp1
Gm29185	Gm29185
Pinc	Pinc
D530049I02Rik	D530049I02Rik
C530043A13Rik	C530043A13Rik
Gm29186	Gm29186
6030407O03Rik	6030407O03Rik
Gm29183	Gm29183
Tns1	Tns1
Rufy4	Rufy4
Cxcr2	Cxcr2
Cxcr1	Cxcr1
Arpc2	Arpc2
Gpbar1	Gpbar1
Aamp	Aamp
Gm28364	Gm28364
Pnkd	Pnkd
Tmbim1	Tmbim1
Catip	Catip
Slc11a1	Slc11a1
Ctdsp1	Ctdsp1
Vil1	Vil1
Usp37	Usp37
Rqcd1	Rqcd1
Plcd4	Plcd4
Zfp142	Zfp142
Bcs1l	Bcs1l
Rnf25	Rnf25
Stk36	Stk36
Ttll4	Ttll4
Cyp27a1	Cyp27a1
Prkag3	Prkag3
Wnt6	Wnt6
Gm29539	Gm29539
Wnt10a	Wnt10a
Cdk5r2	Cdk5r2
Fev	Fev
Cryba2	Cryba2
Ccdc108	Ccdc108
Gm15841	Gm15841
Ihh	Ihh
Nhej1	Nhej1
Slc23a3	Slc23a3
Cnppd1	Cnppd1
Fam134a	Fam134a
Zfand2b	Zfand2b
Abcb6	Abcb6
Atg9a	Atg9a
Ankzf1	Ankzf1
Glb1l	Glb1l
Stk16	Stk16
Tuba4a	Tuba4a
A630095N17Rik	A630095N17Rik
Dnajb2	Dnajb2
Ptprn	Ptprn
Gm28294	Gm28294
Resp18	Resp18
Gm28902	Gm28902
Dnpep	Dnpep
Des	Des
Gm15179	Gm15179
Speg	Speg
Gm15178	Gm15178
Gmppa	Gmppa
Asic4	Asic4
Chpf	Chpf
Obsl1	Obsl1
Tmem198	Tmem198
Inha	Inha
Stk11ip	Stk11ip
Slc4a3	Slc4a3
Gm29065	Gm29065
Gm29069	Gm29069
Gm17751	Gm17751
Gm816	Gm816
Epha4	Epha4
Gm28386	Gm28386
Gm28387	Gm28387
